Date;Natural Gas CONS;Coal CONS
janv-99;83,02;91
févr-99;77,28;79
mars-99;71,88;83
avr-99;62,05;79
mai-99;51,64;82
juin-99;50,97;88
juil-99;53,51;100
août-99;55,1;97
sept-99;50,58;87
oct-99;51,85;84
nov-99;57,79;81
déc-99;71,69;88
janv-00;82,71;97
févr-00;82,24;88
mars-00;68,55;86
avr-00;62,03;78
mai-00;55,89;85
juin-00;53,22;93
juil-00;53,83;96
août-00;57,41;100
sept-00;52,28;89
oct-00;51,77;88
nov-00;64,64;88
déc-00;84,58;95
janv-01;86,35;97
févr-01;82,48;84
mars-01;72,47;86
avr-01;60,24;78
mai-01;49,11;85
juin-01;48,15;90
juil-01;51,55;99
août-01;53,84;101
sept-01;49,8;87
oct-01;53,2;84
nov-01;56,7;81
déc-01;68,39;88
janv-02;80,25;90
févr-02;80,09;80
mars-02;72,85;83
avr-02;62,7;79
mai-02;51,98;84
juin-02;53,05;91
juil-02;56,4;100
août-02;55,67;99
sept-02;51,41;91
oct-02;53,09;88
nov-02;63,79;87
déc-02;76,74;95
janv-03;87,11;99
févr-03;89,3;87
mars-03;70,9;86
avr-03;58,12;79
mai-03;48,86;84
juin-03;45,61;91
juil-03;51,63;100
août-03;53,28;102
sept-03;47,62;92
oct-03;50,1;88
nov-03;58,45;89
déc-03;73,02;98
janv-04;86,32;100
févr-04;86,59;90
mars-04;67,77;86
avr-04;58,17;80
mai-04;50,74;88
juin-04;49,46;93
juil-04;51,13;101
août-04;50,9;99
sept-04;49,41;93
oct-04;50,23;89
nov-04;59,43;90
déc-04;75,09;100
janv-05;82,64;99
févr-05;80,11;88
mars-05;71,15;91
avr-05;57,5;81
mai-05;49,12;86
juin-05;51,14;97
juil-05;54,41;103
août-05;54,68;105
sept-05;47,42;96
oct-05;46,07;91
nov-05;55,45;89
déc-05;75,04;100
janv-06;69,85;95
févr-06;76,58;88
mars-06;68,59;90
avr-06;56,03;79
mai-06;49,24;87
juin-06;51,7;94
juil-06;56,73;104
août-06;56,51;105
sept-06;48,74;91
oct-06;53,04;91
nov-06;58,85;90
déc-06;68,48;97
janv-07;79,86;99
févr-07;91,68;91
mars-07;68,67;89
avr-07;60,34;83
mai-07;50,29;88
juin-07;51,84;97
juil-07;53,54;103
août-07;61,17;106
sept-07;53,02;95
oct-07;52,51;91
nov-07;61,15;89
déc-07;77,39;98
janv-08;88,19;101
févr-08;86,32;93
mars-08;73,49;90
avr-08;60,8;83
mai-08;50,85;88
juin-08;53,47;96
juil-08;55,12;105
août-08;54,29;102
sept-08;48,7;92
oct-08;52,77;87
nov-08;62,3;87
déc-08;77,41;95
janv-09;88,06;96
févr-09;83,3;80
mars-09;70,02;78
avr-09;58,04;72
mai-09;48,52;75
juin-09;50,93;84
juil-09;53,48;89
août-09;56,01;92
sept-09;52,5;79
oct-09;53,76;80
nov-09;59,21;79
déc-09;80,38;94
janv-10;90,64;96
févr-10;88,61;86
mars-10;69,13;82
avr-10;56,39;73
mai-10;52,17;82
juin-10;54,98;93
juil-10;58,9;101
août-10;60,61;100
sept-10;54,58;85
oct-10;53,71;77
nov-10;65,78;79
déc-10;87,55;95
janv-11;93,18;96
févr-11;87,59;80
mars-11;71,95;79
avr-11;60,83;72
mai-11;53,79;79
juin-11;55,24;90
juil-11;60,98;100
août-11;61,03;98
sept-11;55,19;82
oct-11;56,27;75
nov-11;67,73;73
déc-11;82;79
janv-12;88,91;76
févr-12;86,23;68
mars-12;68,64;63
avr-12;65,1;57
mai-12;60,45;68
juin-12;62,28;77
juil-12;66,77;92
août-12;64,8;88
sept-12;60,24;74
oct-12;61,33;72
nov-12;72,26;75
déc-12;80,77;79
janv-13;92,86;81
févr-13;91,68;72
mars-13;81,33;76
avr-13;65,58;66
mai-13;56,53;70
juin-13;58,1;80
juil-13;62,14;88
août-13;62,17;87
sept-13;58,9;78
oct-13;60,22;72
nov-13;77,23;71
déc-13;94,22;83
janv-14;103,36;89
févr-14;97,9;82
mars-14;82,51;78
avr-14;65,39;63
mai-14;58,39;69
juin-14;58,18;79
juil-14;60,68;87
août-14;62,36;86
sept-14;60,31;74
oct-14;61,7;66
nov-14;78,58;70
déc-14;86,42;73
janv-15;100,48;77
févr-15;104,47;72
mars-15;83,59;64
avr-15;66,93;53
mai-15;59,94;62
juin-15;63,33;74
juil-15;66,7;81
août-15;66,22;79
sept-15;63,38;69
oct-15;64,11;58
nov-15;74,97;54
déc-15;83,49;55
janv-16;99,73;67
févr-16;91,46;55
mars-16;76,01;45
avr-16;69,46;43
mai-16;63,41;49
juin-16;66,69;68
juil-16;70,54;79
août-16;71,24;78
sept-16;64,93;67
oct-16;62,1;59
nov-16;71,98;53
déc-16;92,46;70
janv-17;93,99;68
févr-17;83,58;52
mars-17;81,4;53
avr-17;64,4;49
mai-17;61,03;55
juin-17;63,68;63
juil-17;69,08;74
août-17;67,54;70
sept-17;64,02;59
oct-17;65,53;54
nov-17;78,58;55
déc-17;99,55;63
janv-18;107,77;69
févr-18;96,81;50
mars-18;90,22;49
avr-18;78,35;45
mai-18;66,29;52
juin-18;68,77;60
juil-18;75,83;68
août-18;74,64;68
sept-18;71,87;58
oct-18;73,74;53
nov-18;90,53;56
déc-18;96,76;60
janv-19;110,46;60
févr-19;107,83;49
mars-19;94,45;48
avr-19;73,75;37
mai-19;68,84;44
juin-19;70,64;48
juil-19;77,22;60
août-19;78,51;56
sept-19;73,54;51
oct-19;74,4;42
nov-19;92,79;46
déc-19;102,28;45
janv-20;107,33;41
févr-20;105,6;36
mars-20;87,92;33
avr-20;75,45;27
mai-20;66,99;30
juin-20;71,14;40
juil-20;79,62;53
août-20;77,56;54
sept-20;71,9;42
oct-20;74,86;37
nov-20;81,55;38
déc-20;102,84;47
janv-21;107,59;49
févr-21;110,56;52
mars-21;85,16;38
avr-21;75,72;34
mai-21;68,27;39
juin-21;74,73;52
juil-21;77,99;60
août-21;78,59;60
sept-21;71,27;48
oct-21;72,88;39
nov-21;89,5;37
déc-21;97,04;38
janv-22;115,91;52
févr-22;109,25;43
mars-22;89,69;38
avr-22;78,67;34
mai-22;72,3;39
juin-22;77,22;45
juil-22;83,31;53
août-22;82,55;52
sept-22;76,26;41
oct-22;76,24;35
nov-22;92,23;36
déc-22;108,89;45
janv-23;106,71;38
févr-23;105,37;30
mars-23;97,11;32
avr-23;80,7;26
mai-23;74,7;29
juin-23;78,57;37
juil-23;86;48
août-23;85,93;48
sept-23;79,46;38
oct-23;77,23;28